+-----+--------------------------------------------+------------------------------------------------------------+------------+---------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                              | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
+-----+--------------------------------------------+------------------------------------------------------------+------------+---------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   0 | minecraft:ocean                            | Ocean                                                      |            | OCEAN, WATER                                      | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   1 | minecraft:plains                           | Plains                                                     | COOL, WARM | PLAINS                                            | { artifacts:mimic [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 10, min: 1, max: 1] }; { quark:stoneling [weight: 5, min: 1, max: 1] }; { avatarmod:ostrichhorse [weight: 5, min: 1, max: 3] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   2 | minecraft:desert                           | Desert                                                     |            | DRY, HOT, SANDY                                   | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:ostrichhorse [weight: 5, min: 1, max: 3] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|   3 | minecraft:extreme_hills                    | Extreme Hills                                              | COOL, WARM | HILLS, MOUNTAIN                                   | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                         |
|   4 | minecraft:forest                           | Forest                                                     | COOL, WARM | FOREST                                            | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                     |
|   5 | minecraft:taiga                            | Taiga                                                      | COOL       | COLD, CONIFEROUS, FOREST                          | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                   |
|   6 | minecraft:swampland                        | Swampland                                                  | WARM       | SWAMP, WET                                        | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:newt [weight: 20, min: 1, max: 4] }; { bewitchment:toad [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { quark:frog [weight: 40, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                |
|   7 | minecraft:river                            | River                                                      |            | RIVER, WATER                                      | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   8 | minecraft:hell                             | Hell                                                       |            | DRY, HOT, NETHER                                  | { bewitchment:hellhound [weight: 6, min: 1, max: 4] }; { bewitchment:serpent [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:blaze [weight: 5, min: 1, max: 2] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { mysticalworld:entity_lava_cat [weight: 2, min: 1, max: 1] }; { quark:foxhound [weight: 10, min: 1, max: 2] }; { quark:wraith [weight: 60, min: 4, max: 6] }; { thaumcraft:firebat [weight: 10, min: 1, max: 2] }; { thaumcraft:wisp [weight: 5, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
