"Mod name","Registry name","Hardness","Resistance"
"Aether II","aether:aercloud",0.20,1.00
"Aether II","aether:aether_crafting_table",2.50,12.50
"Aether II","aether:aether_dirt",0.50,2.50
"Aether II","aether:aether_flower",0.00,0.00
"Aether II","aether:aether_grass",0.50,2.50
"Aether II","aether:aether_portal",-1.00,0.00
"Aether II","aether:aether_sapling",0.00,0.00
"Aether II","aether:aether_teleporter",2.50,12.50
"Aether II","aether:agiosite",2.00,10.00
"Aether II","aether:agiosite_brick",2.00,10.00
"Aether II","aether:agiosite_brick_decorative",2.00,10.00
"Aether II","aether:agiosite_brick_slab",2.00,10.00
"Aether II","aether:agiosite_brick_stairs",2.00,10.00
"Aether II","aether:agiosite_pillar",2.00,10.00
"Aether II","aether:agiosite_slab",2.00,10.00
"Aether II","aether:agiosite_stairs",2.00,10.00
"Aether II","aether:altar",2.00,10.00
"Aether II","aether:ambrosium_ore",3.00,15.00
"Aether II","aether:ambrosium_torch",0.00,0.00
"Aether II","aether:arkenium_door",3.00,15.00
"Aether II","aether:arkenium_ore",3.00,15.00
"Aether II","aether:blue_dark_skyroot_leaves",0.20,1.00
"Aether II","aether:blue_light_skyroot_leaves",0.20,1.00
"Aether II","aether:blue_skyroot_leaves",0.20,1.00
"Aether II","aether:blueberry_bush",1.00,5.00
"Aether II","aether:brettl_plant",0.00,0.00
"Aether II","aether:candy_cane_block",0.50,2.50
"Aether II","aether:candy_cane_wall",0.50,5.00
"Aether II","aether:cloudwool_block",0.80,4.00
"Aether II","aether:cloudwool_carpet",0.10,0.50
"Aether II","aether:crude_scatterglass",1.00,6000.00
"Aether II","aether:crude_scatterglass_decorative",1.00,6000.00
"Aether II","aether:crude_scatterglass_pane",0.30,1.50
"Aether II","aether:crude_scatterglass_pane_decorative",1.00,6000.00
"Aether II","aether:dark_blue_dark_skyroot_leaves",0.20,1.00
"Aether II","aether:dark_blue_light_skyroot_leaves",0.20,1.00
"Aether II","aether:dark_blue_skyroot_leaves",0.20,1.00
"Aether II","aether:dark_skyroot_beam",2.00,10.00
"Aether II","aether:dark_skyroot_decorative",2.00,10.00
"Aether II","aether:dark_skyroot_log",2.00,10.00
"Aether II","aether:dark_skyroot_planks",2.00,10.00
"Aether II","aether:faded_holystone_brick",2.00,10.00
"Aether II","aether:faded_holystone_brick_decorative",2.00,30.00
"Aether II","aether:faded_holystone_brick_slab",2.00,10.00
"Aether II","aether:faded_holystone_brick_stairs",2.00,10.00
"Aether II","aether:faded_holystone_pillar",2.00,10.00
"Aether II","aether:ferrosite",1.50,7.50
"Aether II","aether:ferrosite_sand",0.50,2.50
"Aether II","aether:golden_oak_leaves",0.20,1.00
"Aether II","aether:golden_oak_log",2.00,10.00
"Aether II","aether:gravitite_block",5.00,25.00
"Aether II","aether:gravitite_ore",3.00,15.00
"Aether II","aether:greatroot_button",0.50,2.50
"Aether II","aether:greatroot_fence",2.00,15.00
"Aether II","aether:greatroot_fence_gate",2.00,15.00
"Aether II","aether:greatroot_pressure_plate",0.50,2.50
"Aether II","aether:greatroot_slab",2.00,10.00
"Aether II","aether:greatroot_stairs",2.00,10.00
"Aether II","aether:green_dark_skyroot_leaves",0.20,1.00
"Aether II","aether:green_light_skyroot_leaves",0.20,1.00
"Aether II","aether:green_skyroot_leaves",0.20,1.00
"Aether II","aether:hellfirestone_brick",2.00,10.00
"Aether II","aether:hellfirestone_brick_decorative",2.00,30.00
"Aether II","aether:hellfirestone_lantern",2.00,10.00
"Aether II","aether:hellfirestone_pillar",2.00,10.00
"Aether II","aether:highlands_ice",0.50,2.50
"Aether II","aether:highlands_ice_crystal",0.25,3.00
"Aether II","aether:highlands_packed_ice",0.50,2.50
"Aether II","aether:highlands_snow",0.20,1.00
"Aether II","aether:highlands_snow_layer",0.10,0.50
"Aether II","aether:holystone",2.00,30.00
"Aether II","aether:holystone_bookshelf",2.00,10.00
"Aether II","aether:holystone_brick",2.00,10.00
"Aether II","aether:holystone_brick_decorative",2.00,30.00
"Aether II","aether:holystone_brick_slab",2.00,10.00
"Aether II","aether:holystone_brick_stairs",2.00,10.00
"Aether II","aether:holystone_brick_wall",1.00,10.00
"Aether II","aether:holystone_button",0.50,2.50
"Aether II","aether:holystone_furnace",3.50,17.50
"Aether II","aether:holystone_pillar",2.00,10.00
"Aether II","aether:holystone_pressure_plate",0.50,2.50
"Aether II","aether:holystone_rock",0.00,0.00
"Aether II","aether:holystone_slab",2.00,10.00
"Aether II","aether:holystone_stairs",2.00,30.00
"Aether II","aether:holystone_wall",1.00,10.00
"Aether II","aether:icestone_brick_stairs",3.00,15.00
"Aether II","aether:icestone_bricks",3.00,15.00
