"Mod name","Registry name","BlockID","Subtypes","Item ID","Item meta","Display name","Exists","Ore Dict keys"
"Aether II","aether:aercloud",653,"true",5114,0,"Cold Aercloud","true",""
"Aether II","aether:aercloud",653,"true",5114,1,"Blue Aercloud","true",""
"Aether II","aether:aercloud",653,"true",5114,2,"Green Aercloud","true",""
"Aether II","aether:aercloud",653,"true",5114,3,"Golden Aercloud","true",""
"Aether II","aether:aercloud",653,"true",5114,4,"Storm Aercloud","true",""
"Aether II","aether:aercloud",653,"true",5114,5,"Purple Aercloud","true",""
"Aether II","aether:aether_crafting_table",662,"false",5202,0,"Skyroot Crafting Table","true",""
"Aether II","aether:aether_dirt",643,"true",5121,0,"Aether Dirt","true",""
"Aether II","aether:aether_dirt",643,"true",5121,1,"Coarse Aether Dirt","true",""
"Aether II","aether:aether_flower",700,"true",5203,0,"White Rose","true",""
"Aether II","aether:aether_flower",700,"true",5203,1,"Purple Flower","true",""
"Aether II","aether:aether_flower",700,"true",5203,2,"Burstblossom","true",""
"Aether II","aether:aether_flower",700,"true",5203,3,"Aechor Sprout","true",""
"Aether II","aether:aether_grass",644,"true",5200,0,"Highlands Grass","true",""
"Aether II","aether:aether_grass",644,"true",5200,1,"Enchanted Grass","true",""
"Aether II","aether:aether_grass",644,"true",5200,2,"Arctic Grass","true",""
"Aether II","aether:aether_grass",644,"true",5200,3,"Magnetic Grass","true",""
"Aether II","aether:aether_grass",644,"true",5200,4,"Irradiated Grass","true",""
"Aether II","aether:aether_portal",694,"false",5214,0,"Aether Portal","true",""
"Aether II","aether:aether_sapling",693,"true",5201,0,"Blue Skyroot Sapling","true",""
"Aether II","aether:aether_sapling",693,"true",5201,1,"Green Skyroot Sapling","true",""
"Aether II","aether:aether_sapling",693,"true",5201,2,"Dark Blue Skyroot Sapling","true",""
"Aether II","aether:aether_sapling",693,"true",5201,3,"Amberoot Sapling","true",""
"Aether II","aether:aether_sapling",693,"true",5201,4,"Edison's Crazy Mutant Tree Sapling","true",""
"Aether II","aether:aether_teleporter",796,"false",5102,0,"Aether Portal","true",""
"Aether II","aether:agiosite",709,"false",5162,0,"Agiosite","true",""
"Aether II","aether:agiosite_brick",710,"false",5079,0,"Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,0,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,1,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,2,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,3,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,4,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_decorative",711,"true",5236,5,"Decorative Agiosite Brick","true",""
"Aether II","aether:agiosite_brick_slab",766,"false",5153,0,"Agiosite Brick Slab","true",""
"Aether II","aether:agiosite_brick_stairs",779,"false",5240,0,"Agiosite Brick Stairs","true",""
"Aether II","aether:agiosite_pillar",712,"false",5229,0,"Agiosite Brick Pillar","true",""
"Aether II","aether:agiosite_slab",765,"false",5171,0,"Agiosite Slab","true",""
"Aether II","aether:agiosite_stairs",778,"false",5199,0,"Agiosite Stairs","true",""
"Aether II","aether:altar",664,"false",5208,0,"Altar","true",""
"Aether II","aether:ambrosium_ore",655,"false",5116,0,"Ambrosium Ore","true",""
"Aether II","aether:ambrosium_torch",669,"false",5109,0,"Ambrosium Torch","true",""
"Aether II","aether:arkenium_door",726,"false",,,"item.aether.arkenium_door.name","true",""
"Aether II","aether:arkenium_ore",658,"false",5073,0,"Arkenium Ore","true",""
"Aether II","aether:blue_dark_skyroot_leaves",681,"false",5175,0,"Blue Greatroot Leaves","true",""
"Aether II","aether:blue_light_skyroot_leaves",685,"false",5096,0,"Blue Wisproot Leaves","true",""
"Aether II","aether:blue_skyroot_leaves",677,"false",5156,0,"Blue Skyroot Leaves","true",""
"Aether II","aether:blueberry_bush",696,"true",5198,0,"Blueberry Bush Stem","true",""
"Aether II","aether:blueberry_bush",696,"true",5198,1,"Blueberry Bush","true",""
"Aether II","aether:brettl_plant",699,"false",5223,0,"tile.aether.brettl_plant.base.name","true",""
"Aether II","aether:candy_cane_block",806,"false",5237,0,"Candy Cane Block","true",""
"Aether II","aether:candy_cane_wall",807,"false",5179,0,"Candy Cane Wall","true",""
"Aether II","aether:cloudwool_block",654,"false",5135,0,"Cloudwool","true",""
"Aether II","aether:cloudwool_carpet",794,"false",5176,0,"Cloudwool Carpet","true",""
"Aether II","aether:crude_scatterglass",671,"false",5082,0,"Crude Scatterglass","true",""
"Aether II","aether:crude_scatterglass_decorative",674,"true",5233,0,"Decorative Crude Scatterglass","true",""
"Aether II","aether:crude_scatterglass_decorative",674,"true",5233,1,"Decorative Crude Scatterglass","true",""
"Aether II","aether:crude_scatterglass_pane",787,"false",5211,0,"Crude Scatterglass Pane","true",""
"Aether II","aether:crude_scatterglass_pane_decorative",790,"true",5107,0,"Decorative Crude Scatterglass Pane","true",""
"Aether II","aether:crude_scatterglass_pane_decorative",790,"true",5107,1,"Decorative Crude Scatterglass Pane","true",""
"Aether II","aether:dark_blue_dark_skyroot_leaves",683,"false",5222,0,"Dark Blue Greatroot Leaves","true",""
"Aether II","aether:dark_blue_light_skyroot_leaves",687,"false",5147,0,"Dark Blue Wisproot Leaves","true",""
"Aether II","aether:dark_blue_skyroot_leaves",679,"false",5228,0,"Dark Blue Skyroot Leaves","true",""
"Aether II","aether:dark_skyroot_beam",718,"false",5227,0,"Greatroot Beam","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,0,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,1,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,2,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,3,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,4,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,5,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,6,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_decorative",717,"true",5190,7,"Decorative Greatroot Planks","true",""
"Aether II","aether:dark_skyroot_log",680,"false",5115,0,"Greatroot Wood","true",""
"Aether II","aether:dark_skyroot_planks",716,"false",5136,0,"Greatroot Planks","true","skyrootplanks"
"Aether II","aether:faded_holystone_brick",706,"false",5168,0,"Faded Holystone Brick","true",""
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,0,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,1,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,2,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,3,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,4,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,5,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_decorative",707,"true",5145,6,"Decorative Faded Holystone Brick","true","faded_holystone_brick_decorative"
"Aether II","aether:faded_holystone_brick_slab",764,"false",5097,0,"Faded Holystone Brick Slab","true",""
"Aether II","aether:faded_holystone_brick_stairs",777,"false",5149,0,"Faded Holystone Brick Stairs","true",""
"Aether II","aether:faded_holystone_pillar",708,"false",5128,0,"Faded Holystone Brick Pillar","true","faded_holystone_brick_decorative"
"Aether II","aether:ferrosite",646,"false",5140,0,"Ferrosite","true",""
"Aether II","aether:ferrosite_sand",661,"false",5170,0,"Ferrosite Sand","true",""
"Aether II","aether:golden_oak_leaves",691,"false",5125,0,"Amberoot Leaves","true",""
"Aether II","aether:golden_oak_log",690,"false",5150,0,"Amberoot Wood","true",""
"Aether II","aether:gravitite_block",702,"false",5189,0,"Gravitite Block","true",""
"Aether II","aether:gravitite_ore",657,"false",5169,0,"Gravitite Ore","true",""
