"Index","Name","Translated Name","Icon Item"
0,"buildingBlocks","Building Blocks","[minecraft:brick_block@0 - 'Bricks']"
1,"decorations","Decoration Blocks","[minecraft:double_plant@5 - 'Peony']"
2,"redstone","Redstone","[minecraft:redstone@0 - 'Redstone']"
3,"transportation","Transportation","[minecraft:golden_rail@0 - 'Powered Rail']"
4,"hotbar","Saved Toolbars","[minecraft:bookshelf@0 - 'Oak Bookshelf']"
5,"search","Search Items","[minecraft:compass@0 - 'Origin Compass']"
6,"misc","Miscellaneous","[minecraft:lava_bucket@0 - 'Lava Bucket']"
7,"food","Foodstuffs","[minecraft:apple@0 - 'Apple']"
8,"tools","Tools","[minecraft:iron_axe@0 - 'Iron Axe']"
9,"combat","Combat","[minecraft:golden_sword@0 - 'Golden Sword']"
10,"brewing","Brewing","[minecraft:potion@0 - 'Water Bottle']"
11,"inventory","Survival Inventory","[minecraft:chest@0 - 'Oak Chest']"
12,"bloodmagic.creativeTab","Blood Magic","[bloodmagic:blood_orb@0 - 'Weak Blood Orb']"
13,"bloodmagic.creativeTabTome","Blood Magic | Tomes","[bloodmagic:upgrade_tome@0 - 'Living Armour Upgrade Tome']"
14,"animus","Animus","[animus:altardiviner@0 - 'Altar Diviner']"
15,"aov","Angel of Vengeance","[minecraft:blaze_powder@0 - 'Blaze Powder']"
16,"thaumic_arcana","Thaumic Arcana","[thaumic_arcana:creature_enchanter@0 - 'Creature Disenchanter']"
17,"arcanearchives.creativeTab","Arcane Archives","[arcanearchives:item_tomeofrequisition@0 - 'Tome of Requisition']"
18,"architecture.tool","Architecture Craft Tools","[architecturecraft:hammer@0 - 'Architect's Hammer']"
19,"architecture.shape","Architecture Craft Shapes","[architecturecraft:shape@0 - 'Architectural Block']"
20,"naturesaura","Nature's Aura","[naturesaura:gold_leaf@0 - 'Gold Leaf']"
21,"betterquesting","Better Questing","[betterquesting:extra_life@0 - 'Extra Life']"
22,"blockcraftery","Blockcraftery","[blockcraftery:editable_block@0 - 'Framed Block']"
23,"botania_tweaks","Botania Tweaks","[botania_tweaks:compressed_tiny_potato_8@0 - 'Galactic Potato']"
24,"buildingGadgets","Building Gadgets","[buildinggadgets:buildingtool@0 - 'Building Gadget']"
25,"tabBasalt","Basalt","[cathedral:basalt_block_carved@1 - 'Basalt Poison']"
26,"tabCathedral","Cathedral","[cathedral:cathedral_railing_various@0 - 'Stone Railing']"
27,"tabDwemer","Dwarven","[cathedral:dwemer_block_carved@0 - 'Dwarven Embedded Plate']"
28,"tabRoofing","Roofing","[cathedral:roofing_shingles_natural@0 - 'Natural Terra Cotta Roof']"
29,"rustic.decor","Rustic Decorations","[rustic:vase@0 - 'Pot']"
30,"rustic.farming","Rustic Agriculture","[rustic:olives@0 - 'Olives']"
31,"rustic.alchemy","Rustic Alchemy","[rustic:elixir@0 - 'Elixir of Instant Health']"
32,"earthworks","Earthworks","[earthworks:block_wattle@0 - 'Wattle and Daub']"
33,"eerieentities","Eerie Entities","[minecraft:lit_pumpkin@0 - 'Jack o'Lantern']"
34,"embers","Embers","[embers:crystal_ember@0 - 'Ember Crystal']"
35,"embers_resources","Embers (Metals)","[embers:ingot_dawnstone@0 - 'Dawnstone Ingot']"
36,"flying_things","The Flying Things","[flying_things:enchanted_broom@5 - 'Enchanted Broom']"
37,"rootsclassic","Roots Classic","[rootsclassic:dustpetal@0 - 'Spell Powder']"
38,"Kathairis Building Blocks","Kathairis Blocks","[kathairis:mythicstone@0 - 'Katharian Stone']"
39,"Kathairis Food","Kathairis Food","[kathairis:bisonmeat@0 - 'Raw Carabeef']"
40,"Kathairis Plants","Kathairis Plants","[kathairis:mysticfungus@0 - 'Mystic Fungus']"
41,"Kathairis Weapons","Kathairis Weapons","[kathairis:deathwand@0 - 'Death Wand']"
42,"Kathairis Armors","Kathairis Armors","[kathairis:revenumhelmet@0 - 'Revenum Headpiece']"
43,"Kathairis Tools","Kathairis Tools","[kathairis:crystalpickaxe@0 - 'Crystal Pickaxe']"
44,"Kathairis Miscellaneous","Kathairis Misc","[kathairis:crystalblend@0 - 'Crystal Blend']"
45,"loreexpansion","Lore Expansion","[loreexpansion:lore_journal@0 - 'Journal']"
46,"malisisdoors","MalisisDoors","[malisisdoors:jail_door@0 - 'Jail Door']"
47,"meecreeps","MeeCreeps","[meecreeps:portalgun@0 - 'Portal Gun']"
48,"metalchests","MetalChests","[metalchests:metal_chest@1 - 'Iron Chest']"
49,"mist_tab","Misty World","[mist:portal_base@3 - 'Weathered Stone']"
50,"qualitytools","Quality Tools","[qualitytools:reforging_station@0 - 'Reforging Station']"
51,"runecarved","Runecarved","[minecraft:stick@0 - 'Stick']"
52,"rusticthaumaturgy.main","Rustic Thaumaturgy","[rusticthaumaturgy:viscap@0 - 'Viscap']"
53,"superiorshields","Superior Shields",""
54,"thaumicperiphery","Thaumic Periphery","[thaumicperiphery:caster_ember@0 - 'Clockwork Caster's Gauntlet']"
55,"yabba","YABBA","[yabba:decorative_block@0 - 'Decorative Block']"
56,"tabZoocraftdiscoveries","Zoocraft Discoveries Mod","[minecraft:filled_map@0 - 'Map']"
57,"cuisine","Cuisine","[cuisine:kitchen_knife@0 - 'Kitchen Knife']"
58,"astralsorcery","Astral Sorcery","[astralsorcery:itemjournal@0 - 'Astral Tome']"
59,"astralsorcery.papers","[AS] Constellation Papers","[astralsorcery:itemconstellationpaper@0 - 'Constellation Paper']"
60,"astralsorcery.crystals","[AS] Attuned Crystals","[astralsorcery:itemtunedrockcrystal@0 - 'Attuned Rock Crystal']"
61,"Auraddons","Auraddons","[auraddons:item_creative_aura_cache@0 - 'Creative Aura Cache']"
62,"BiblioCraft","BiblioCraft","[bibliocraft:bookcase@0 - 'Oak Bookcase']"
63,"BiblioCraftLights","BiblioCraft Lighting","[bibliocraft:lanterngold@0 - 'Fancy Lantern']"
64,"botania","Botania","[botania:lexicon@0 - 'Lexica Botania']"
65,"chiselsandbits","Chisels & Bits","[chiselsandbits:chisel_diamond@0 - 'Diamond Chisel']"
66,"chiselsandbits.Clipboard","Chisels & Bits Clipboard","[chiselsandbits:positiveprint@0 - 'Positive Chisel Design']"
67,"materials.base","B.A.S.E Materials","[minecraft:stick@0 - 'Stick']"
68,"dynamictrees","Dynamic Trees","[dynamictrees:oakseed@0 - 'Oak Acorn']"
69,"extrabitmanipulation","Extra Bit Manipulation","[extrabitmanipulation:sculpting_loop@0 - 'Curved Sculpting Wire']"
70,"FlatColoredBlocks","Flat Colored Blocks","[flatcoloredblocks:flatcoloredblock2@2 - 'Red Block #34']"
71,"HammerX","HammerX","[hammerx:item.hammer@0 - 'Diamond Hammer']"
72,"naturalpledge.divine","Natural Pledge","[naturalpledge:holy_symbol@0 - 'Holy Symbol']"
73,"platforms","Platforms","[platforms:platform@50 - 'PlatFormer']"
74,"soot","Soot","[embers:dust_ash@0 - 'Ash Pile']"
75,"spartanweaponry:tabBasic.name","Spartan Weaponry: Vanilla Materials","[spartanweaponry:longsword_diamond@0 - 'Diamond Longsword']"
76,"spartanweaponry:tabModded.name","Spartan Weaponry: Modded Materials",""
77,"spartanweaponry:tabArrowsAndBolts.name","Spartan Weaponry: Arrows & Bolts","[spartanweaponry:arrow_diamond@0 - 'Diamond Arrow']"
78,"wizardry","Wizardry","[wizardry:book@0 - 'Spellforger's Codex']"
79,"thebetweenlands.block","The Betweenlands Blocks","[thebetweenlands:swamp_grass@0 - 'Swamp Grass']"
80,"thebetweenlands.item","The Betweenlands Items","[thebetweenlands:swamp_talisman@0 - 'Swamp Talisman']"
81,"thebetweenlands.gear","The Betweenlands Gear","[thebetweenlands:valonite_pickaxe@0 - 'Valonite Pickaxe']"
82,"thebetweenlands.special","The Betweenlands Specials","[thebetweenlands:astatos@0 - 'Legendary Disc']"
83,"thebetweenlands.plants","The Betweenlands Plants","[thebetweenlands:mire_coral@0 - 'Mire Coral']"
84,"thebetweenlands.herblore","The Betweenlands Herblore","[thebetweenlands:items_crushed@0 - 'Ground Leaf']"
85,"aether.natural_blocks","Aether II Natural Blocks","[aether:aether_grass@0 - 'Highlands Grass']"
86,"aether.construction","Aether II Construction Blocks","[aether:holystone_brick@0 - 'Holystone Brick']"
87,"aether.utility_blocks","Aether II Utility Blocks","[aether:altar@0 - 'Altar']"
88,"aether.visual_variants","Aether II Decorative Blocks","[aether:skyroot_decorative@5 - 'Decorative Skyroot Planks']"
89,"aether.miscellaneous","Aether II Miscellaneous","[aether:skyroot_poison_bucket@0 - 'Skyroot Poison Bucket']"
90,"aether.materials","Aether II Materials","[aether:ambrosium_shard@0 - 'Ambrosium Shard']"
91,"aether.consumables","Aether II Consumables","[aether:orange@0 - 'Orange']"
92,"aether.tools","Aether II Tools","[aether:zanite_pickaxe@0 - 'Zanite Pickaxe']"
93,"aether.weapons","Aether II Weapons","[aether:gravitite_sword@0 - 'Gravitite Sword']"
94,"aether.armor","Aether II Armor","[aether:zanite_helmet@0 - 'Zanite Helmet']"
95,"aether.thera","Aether II Theran Blocks","[aether:therastone_brick_decorative@6 - 'Decorative Therastone Brick']"
96,"thaumcraft","Thaumcraft","[thaumcraft:goggles@0 - 'Goggles of Revealing']"
97,"chiselCreativeTab","Chisel","[chisel:chisel_iron@0 - 'Chisel']"
98,"ebwizardry","Wizardry","[ebwizardry:wizard_handbook@0 - 'The Wizard's Handbook']"
99,"ebwizardryspells","Spells","[ebwizardry:spell_book@0 - 'Spell Book']"
100,"essentials","Essentials","[essentials:candle_lilypad@0 - 'Candle Lilypad']"
101,"wings","Wings","[wings:angel_wings@0 - 'Angel Wings']"
102,"arcaneworld","Arcane World","[arcaneworld:glowing_chorus@0 - 'Glowing Chorus Fruit']"
103,"dimensional_doors_creative_tab","Dimensional Doors Items","[dimdoors:iron_dimensional_door@0 - 'Iron Dimensional Door']"
104,"arcaneworld","Arcane World","[arcaneworld:ritual_scroll@0 - 'Scroll']"
