+----------------------------------+-----------------------------------------------------------+--------------------------------+-----+
| Mod name                         | Registry name                                             | Entity class name              |  ID |
+----------------------------------+-----------------------------------------------------------+--------------------------------+-----+
| Angel of Vengeance               | aov:entityalignmentaoe                                    | EntityAlignmentAoE             |  14 |
| Angel of Vengeance               | aov:entitycelestialopposition                             | EntityCelestialOpposition      |   9 |
| Angel of Vengeance               | aov:entitycombust                                         | EntityCombust                  |   7 |
| Angel of Vengeance               | aov:entitydruidicwolf                                     | EntityDruidicWolf              |  13 |
| Angel of Vengeance               | aov:entityearthquake                                      | EntityEarthquake               |  11 |
| Angel of Vengeance               | aov:entitygravity                                         | EntityGravity                  |   8 |
| Angel of Vengeance               | aov:entitymalefic                                         | EntityMalefic                  |   6 |
| Angel of Vengeance               | aov:entityspellaovparticles                               | EntitySpellAoVParticles        |   5 |
| Angel of Vengeance               | aov:entityspellbladebarrier                               | EntitySpellBladeBarrier        |   3 |
| Angel of Vengeance               | aov:entityspellimplosion                                  | EntitySpellImplosion           |   2 |
| Angel of Vengeance               | aov:entityspelllightningbolt                              | EntitySpellLightningBolt       |  10 |
| Angel of Vengeance               | aov:entityspelllightningstorm                             | EntitySpellLightningStorm      |  12 |
| Angel of Vengeance               | aov:entityspellvanillaparticles                           | EntitySpellVanillaParticles    |   4 |
| Angel of Vengeance               | aov:projectileflamestrike                                 | ProjectileFlameStrike          |   1 |
| Angel of Vengeance               | aov:projectilenimbusray                                   | ProjectileNimbusRay            |   0 |
| Arcane Archives                  | arcanearchives:weight                                     | EntityWeight                   |   0 |
| Arcane Essentials                | arcane_essentials:blockspawner                            | EntityFallingBlockSpawner      |  13 |
| Arcane Essentials                | arcane_essentials:cyclonebolt                             | EntityCycloneBolt              |  14 |
| Arcane Essentials                | arcane_essentials:cyloneshield                            | EntityCycloneShield            |   8 |
| Arcane Essentials                | arcane_essentials:fireball                                | EntityFireball                 |  15 |
| Arcane Essentials                | arcane_essentials:flamepillar                             | EntityFlamePillar              |   6 |
| Arcane Essentials                | arcane_essentials:flamepillarspawner                      | EntityFlamePillarSpawner       |  11 |
| Arcane Essentials                | arcane_essentials:flameslash                              | EntityFlameSlash               |  16 |
| Arcane Essentials                | arcane_essentials:floatingblock                           | EntityFloatingBlock            |  17 |
