+-----------------------------------------------------+------+
| Registry name                                       |   ID |
+-----------------------------------------------------+------+
| aether_legacy:achievement                           | 1196 |
| aether_legacy:achievement_bronze                    | 1253 |
| aether_legacy:achievement_silver                    | 1221 |
| aether_legacy:aeboss.slider.awaken                  | 1213 |
| aether_legacy:aeboss.slider.collide                 | 1182 |
| aether_legacy:aeboss.slider.death                   | 1238 |
| aether_legacy:aeboss.slider.move                    | 1266 |
| aether_legacy:aeboss.sun_spirit.shoot               | 1199 |
| aether_legacy:aemob.aerbunny.death                  | 1236 |
| aether_legacy:aemob.aerbunny.hurt                   | 1271 |
| aether_legacy:aemob.aerbunny.lift                   | 1277 |
| aether_legacy:aemob.aerwhale.call                   | 1247 |
| aether_legacy:aemob.aerwhale.death                  | 1286 |
| aether_legacy:aemob.flyingcow.death                 | 1215 |
| aether_legacy:aemob.flyingcow.hurt                  | 1224 |
| aether_legacy:aemob.flyingcow.say                   | 1245 |
| aether_legacy:aemob.moa.flap                        | 1285 |
| aether_legacy:aemob.moa.say                         | 1263 |
| aether_legacy:aemob.phyg.death                      | 1225 |
| aether_legacy:aemob.phyg.hurt                       | 1191 |
| aether_legacy:aemob.phyg.say                        | 1174 |
| aether_legacy:aemob.sheepuff.death                  | 1193 |
| aether_legacy:aemob.sheepuff.hurt                   | 1246 |
| aether_legacy:aemob.sheepuff.say                    | 1268 |
| aether_legacy:aemob.zephyr.call                     | 1252 |
| aether_legacy:aemob.zephyr.shoot                    | 1190 |
| aether_legacy:music.aether1                         | 1207 |
| aether_legacy:music.aether2                         | 1206 |
| aether_legacy:music.aether3                         | 1209 |
| aether_legacy:music.aether4                         | 1208 |
| aether_legacy:music.menu                            | 1256 |
| aether_legacy:projectile.dart_shooter.shoot         | 1223 |
| aether_legacy:projectile.shoot                      | 1183 |
| aether_legacy:records.aether_tune                   | 1232 |
| aether_legacy:records.ascending_dawn                | 1178 |
| aether_legacy:records.welcoming_skies               | 1248 |
| aov:activate                                        |  658 |
| aov:aspectedbenefic                                 |  665 |
| aov:aspectedhelios                                  |  666 |
| aov:aura                                            |  647 |
| aov:benefic                                         |  667 |
| aov:bladebarrier                                    |  648 |
| aov:boost                                           |  649 |
| aov:burn                                            |  659 |
| aov:burst                                           |  650 |
| aov:cast                                            |  651 |
| aov:cast_2                                          |  652 |
| aov:celestialopposition                             |  673 |
| aov:destruction                                     |  653 |
| aov:draw1                                           |  660 |
| aov:draw2                                           |  661 |
| aov:essentialdignity                                |  668 |
| aov:firestrike                                      |  654 |
| aov:gravity                                         |  672 |
| aov:heal                                            |  655 |
| aov:helios                                          |  669 |
| aov:implosion                                       |  656 |
| aov:malefic_cast                                    |  670 |
| aov:malefic_hit                                     |  671 |
| aov:redraw                                          |  663 |
| aov:restore                                         |  657 |
| aov:spread                                          |  662 |
| aov:timedilation                                    |  664 |
| arcaneworld:general_break                           |  925 |
| arcaneworld:general_break_squish                    |  926 |
| arcaneworld:general_woosh                           |  924 |
| arcaneworld:music_dungeon                           |  927 |
| arcaneworld:rift_ambient                            |  930 |
| arcaneworld:rift_end                                |  929 |
| arcaneworld:rift_start                              |  928 |
| arcaneworld:ritual_charge                           |  921 |
| arcaneworld:ritual_item                             |  920 |
| arcaneworld:ritual_item_pop                         |  923 |
| arcaneworld:ritual_out                              |  919 |
| arcaneworld:ritual_start                            |  922 |
| artifacts:fart                                      |  604 |
| artifacts:mimic.close                               |  602 |
| artifacts:mimic.death                               |  605 |
| artifacts:mimic.hurt                                |  603 |
| artifacts:mimic.open                                |  601 |
| astralsorcery:attunement                            |  932 |
| astralsorcery:bookclose                             |  934 |
| astralsorcery:bookflip                              |  935 |
| astralsorcery:clipswitch                            |  931 |
| astralsorcery:craftfinish                           |  933 |
| botania:agricarnation                               |  740 |
| botania:airrod                                      |  739 |
| botania:altarcraft                                  |  741 |
| botania:babylonattack                               |  742 |
| botania:babylonspawn                                |  743 |
| botania:bellows                                     |  744 |
| botania:bifrostrod                                  |  745 |
| botania:blacklotus                                  |  746 |
| botania:dash                                        |  747 |
| botania:ding                                        |  748 |
| botania:divacharm                                   |  749 |
| botania:divinationrod                               |  750 |
| botania:doit                                        |  751 |
| botania:enchanterenchant                            |  754 |
